id	device	data	time_sent	time_saved
5405	esp32/window	"{""test_name"": ""DummyConst5"", ""blinds_1"": 1, ""blinds_2"": 1, ""window"": 1}"	2025-03-04 23:50:49	2025-03-04 23:50:50
5406	esp32/light	"{""analog_read"": 22, ""test_name"": ""DummyConst5""}"	2025-03-04 23:50:52	2025-03-04 23:50:53
5407	esp8266/outside	"{""test_name"": ""DummyConst5"", ""temperature"": 8.925760269, ""pressure"": 99925.07813, ""humidity"": 36.04074478, ""iaq"": 152.6119995}"	2025-03-04 23:51:11	2025-03-04 23:51:11
5408	esp8266/inside	"{""test_name"": ""DummyConst5"", ""temperature"": 25.41189003, ""pressure"": 99903.0625, ""humidity"": 43.29154587, ""iaq"": 105.3323135}"	2025-03-04 23:51:15	2025-03-04 23:51:15
5409	esp32/window	"{""test_name"": ""DummyConst5"", ""blinds_1"": 1, ""blinds_2"": 1, ""window"": 1}"	2025-03-04 23:55:49	2025-03-04 23:55:50
5410	esp32/light	"{""analog_read"": 24, ""test_name"": ""DummyConst5""}"	2025-03-04 23:55:52	2025-03-04 23:55:53
5411	esp8266/outside	"{""test_name"": ""DummyConst5"", ""temperature"": 8.801635742, ""pressure"": 99917.00781, ""humidity"": 36.43193054, ""iaq"": 146.4616852}"	2025-03-04 23:56:12	2025-03-04 23:56:12
5412	esp8266/inside	"{""test_name"": ""DummyConst5"", ""temperature"": 25.39920044, ""pressure"": 99892.51563, ""humidity"": 43.13694, ""iaq"": 104.4301758}"	2025-03-04 23:56:15	2025-03-04 23:56:15
5413	esp32/window	"{""test_name"": ""DummyConst5"", ""blinds_1"": 1, ""blinds_2"": 1, ""window"": 1}"	2025-03-05 00:00:50	2025-03-05 00:00:50
5414	esp32/light	"{""analog_read"": 23, ""test_name"": ""DummyConst5""}"	2025-03-05 00:00:52	2025-03-05 00:00:53
5415	esp8266/outside	"{""test_name"": ""DummyConst5"", ""temperature"": 8.499570847, ""pressure"": 99911.80469, ""humidity"": 36.6516037, ""iaq"": 113.5795441}"	2025-03-05 00:01:12	2025-03-05 00:01:12
5416	esp8266/inside	"{""test_name"": ""DummyConst5"", ""temperature"": 25.38412857, ""pressure"": 99887.22656, ""humidity"": 42.99343109, ""iaq"": 101.2526321}"	2025-03-05 00:01:15	2025-03-05 00:01:15
5417	esp32/window	"{""test_name"": ""DummyConst5"", ""blinds_1"": 1, ""blinds_2"": 1, ""window"": 1}"	2025-03-05 00:05:50	2025-03-05 00:05:50
5418	esp32/light	"{""analog_read"": 23, ""test_name"": ""DummyConst5""}"	2025-03-05 00:05:52	2025-03-05 00:05:53
5419	esp8266/outside	"{""test_name"": ""DummyConst5"", ""temperature"": 8.405399323, ""pressure"": 99905.67188, ""humidity"": 36.79666901, ""iaq"": 101.992157}"	2025-03-05 00:06:12	2025-03-05 00:06:12
5420	esp8266/inside	"{""test_name"": ""DummyConst5"", ""temperature"": 25.37413597, ""pressure"": 99883.64063, ""humidity"": 42.99525452, ""iaq"": 100.1208649}"	2025-03-05 00:06:16	2025-03-05 00:06:16
5421	esp32/window	"{""test_name"": ""DummyConst5"", ""blinds_1"": 1, ""blinds_2"": 1, ""window"": 1}"	2025-03-05 00:10:50	2025-03-05 00:10:50
5422	esp32/light	"{""analog_read"": 24, ""test_name"": ""DummyConst5""}"	2025-03-05 00:10:53	2025-03-05 00:10:53
5423	esp8266/outside	"{""test_name"": ""DummyConst5"", ""temperature"": 8.375065804, ""pressure"": 99909.35938, ""humidity"": 36.99485779, ""iaq"": 100.6471405}"	2025-03-05 00:11:13	2025-03-05 00:11:13
5424	esp8266/inside	"{""test_name"": ""DummyConst5"", ""temperature"": 25.36157227, ""pressure"": 99887.125, ""humidity"": 42.85306168, ""iaq"": 96.36521149}"	2025-03-05 00:11:16	2025-03-05 00:11:16
5425	esp32/window	"{""test_name"": ""DummyConst5"", ""blinds_1"": 1, ""blinds_2"": 1, ""window"": 1}"	2025-03-05 00:15:50	2025-03-05 00:15:50
5426	esp32/light	"{""analog_read"": 24, ""test_name"": ""DummyConst5""}"	2025-03-05 00:15:53	2025-03-05 00:15:53
5427	esp8266/outside	"{""test_name"": ""DummyConst5"", ""temperature"": 8.565314293, ""pressure"": 99919.88281, ""humidity"": 36.79348373, ""iaq"": 125.3005676}"	2025-03-05 00:16:13	2025-03-05 00:16:13
5428	esp8266/inside	"{""test_name"": ""DummyConst5"", ""temperature"": 25.35655975, ""pressure"": 99896.1875, ""humidity"": 42.88223648, ""iaq"": 96.95263672}"	2025-03-05 00:16:17	2025-03-05 00:16:17
5429	esp32/window	"{""test_name"": ""DummyConst5"", ""blinds_1"": 1, ""blinds_2"": 1, ""window"": 1}"	2025-03-05 00:20:50	2025-03-05 00:20:50
5430	esp32/light	"{""analog_read"": 23, ""test_name"": ""DummyConst5""}"	2025-03-05 00:20:53	2025-03-05 00:20:53
5431	esp8266/outside	"{""test_name"": ""DummyConst5"", ""temperature"": 8.588191032, ""pressure"": 99926.38281, ""humidity"": 37.08071136, ""iaq"": 138.9724426}"	2025-03-05 00:21:14	2025-03-05 00:21:14
5432	esp8266/inside	"{""test_name"": ""DummyConst5"", ""temperature"": 25.35186577, ""pressure"": 99902.32031, ""humidity"": 42.87314606, ""iaq"": 94.1322937}"	2025-03-05 00:21:17	2025-03-05 00:21:17
5433	esp32/window	"{""test_name"": ""DummyConst5"", ""blinds_1"": 1, ""blinds_2"": 1, ""window"": 1}"	2025-03-05 00:25:50	2025-03-05 00:25:50
5434	esp32/light	"{""analog_read"": 24, ""test_name"": ""DummyConst5""}"	2025-03-05 00:25:53	2025-03-05 00:25:53
5435	esp8266/outside	"{""test_name"": ""DummyConst5"", ""temperature"": 8.387853622, ""pressure"": 99927.75781, ""humidity"": 37.7506485, ""iaq"": 145.6428528}"	2025-03-05 00:26:14	2025-03-05 00:26:14
5436	esp8266/inside	"{""test_name"": ""DummyConst5"", ""temperature"": 25.3365078, ""pressure"": 99902.85938, ""humidity"": 42.88352203, ""iaq"": 91.88146973}"	2025-03-05 00:26:17	2025-03-05 00:26:17
5437	esp32/window	"{""test_name"": ""DummyConst5"", ""blinds_1"": 1, ""blinds_2"": 1, ""window"": 1}"	2025-03-05 00:30:50	2025-03-05 00:30:50
5438	esp32/light	"{""analog_read"": 22, ""test_name"": ""DummyConst5""}"	2025-03-05 00:30:53	2025-03-05 00:30:53
5439	esp8266/outside	"{""test_name"": ""DummyConst5"", ""temperature"": 8.141443253, ""pressure"": 99924.74219, ""humidity"": 38.18603897, ""iaq"": 144.0991364}"	2025-03-05 00:31:14	2025-03-05 00:31:14
5440	esp8266/inside	"{""test_name"": ""DummyConst5"", ""temperature"": 25.33657265, ""pressure"": 99900.3125, ""humidity"": 42.81860352, ""iaq"": 90.03855133}"	2025-03-05 00:31:18	2025-03-05 00:31:18
5441	esp32/window	"{""test_name"": ""DummyConst5"", ""blinds_1"": 1, ""blinds_2"": 1, ""window"": 1}"	2025-03-05 00:35:50	2025-03-05 00:35:50
5442	esp32/light	"{""analog_read"": 23, ""test_name"": ""DummyConst5""}"	2025-03-05 00:35:53	2025-03-05 00:35:53
5443	esp8266/outside	"{""test_name"": ""DummyConst5"", ""temperature"": 8.055076599, ""pressure"": 99913.89844, ""humidity"": 38.30174255, ""iaq"": 142.4834595}"	2025-03-05 00:36:15	2025-03-05 00:36:15
5444	esp8266/inside	"{""test_name"": ""DummyConst5"", ""temperature"": 25.33152962, ""pressure"": 99888.04688, ""humidity"": 42.80725861, ""iaq"": 87.69549561}"	2025-03-05 00:36:18	2025-03-05 00:36:18
5445	esp32/window	"{""test_name"": ""DummyConst5"", ""blinds_1"": 1, ""blinds_2"": 1, ""window"": 1}"	2025-03-05 00:40:50	2025-03-05 00:40:50
5446	esp32/light	"{""analog_read"": 22, ""test_name"": ""DummyConst5""}"	2025-03-05 00:40:53	2025-03-05 00:40:53
5447	esp8266/outside	"{""test_name"": ""DummyConst5"", ""temperature"": 7.897985458, ""pressure"": 99901.92188, ""humidity"": 38.38536072, ""iaq"": 126.3700027}"	2025-03-05 00:41:15	2025-03-05 00:41:15
5448	esp8266/inside	"{""test_name"": ""DummyConst5"", ""temperature"": 25.32147026, ""pressure"": 99879.52344, ""humidity"": 42.79937363, ""iaq"": 87.07174683}"	2025-03-05 00:41:18	2025-03-05 00:41:19
5449	esp32/window	"{""test_name"": ""DummyConst5"", ""blinds_1"": 1, ""blinds_2"": 1, ""window"": 1}"	2025-03-05 00:45:50	2025-03-05 00:45:51
5450	esp32/light	"{""analog_read"": 22, ""test_name"": ""DummyConst5""}"	2025-03-05 00:45:53	2025-03-05 00:45:53
5451	esp8266/outside	"{""test_name"": ""DummyConst5"", ""temperature"": 7.968837261, ""pressure"": 99911.02344, ""humidity"": 38.20059586, ""iaq"": 123.231636}"	2025-03-05 00:46:16	2025-03-05 00:46:16
5452	esp8266/inside	"{""test_name"": ""DummyConst5"", ""temperature"": 25.30395699, ""pressure"": 99885.33594, ""humidity"": 42.70056915, ""iaq"": 83.6479187}"	2025-03-05 00:46:19	2025-03-05 00:46:19
5453	esp32/window	"{""test_name"": ""DummyConst5"", ""blinds_1"": 1, ""blinds_2"": 1, ""window"": 1}"	2025-03-05 00:50:51	2025-03-05 00:50:51
5454	esp32/light	"{""analog_read"": 23, ""test_name"": ""DummyConst5""}"	2025-03-05 00:50:53	2025-03-05 00:50:53
5455	esp8266/outside	"{""test_name"": ""DummyConst5"", ""temperature"": 8.088328362, ""pressure"": 99919.78125, ""humidity"": 38.03257751, ""iaq"": 135.2242126}"	2025-03-05 00:51:16	2025-03-05 00:51:16
5456	esp8266/inside	"{""test_name"": ""DummyConst5"", ""temperature"": 25.31401634, ""pressure"": 99893.47656, ""humidity"": 42.54938889, ""iaq"": 82.70730591}"	2025-03-05 00:51:19	2025-03-05 00:51:19
5457	esp32/window	"{""test_name"": ""DummyConst5"", ""blinds_1"": 1, ""blinds_2"": 1, ""window"": 1}"	2025-03-05 00:55:51	2025-03-05 00:55:51
5458	esp32/light	"{""analog_read"": 24, ""test_name"": ""DummyConst5""}"	2025-03-05 00:55:53	2025-03-05 00:55:53
5459	esp8266/outside	"{""test_name"": ""DummyConst5"", ""temperature"": 8.032516479, ""pressure"": 99920.03125, ""humidity"": 38.32380295, ""iaq"": 139.8797913}"	2025-03-05 00:56:17	2025-03-05 00:56:17
5460	esp8266/inside	"{""test_name"": ""DummyConst5"", ""temperature"": 25.30157852, ""pressure"": 99894.60156, ""humidity"": 42.54385376, ""iaq"": 80.80926514}"	2025-03-05 00:56:20	2025-03-05 00:56:20
5461	esp32/window	"{""test_name"": ""DummyConst5"", ""blinds_1"": 1, ""blinds_2"": 1, ""window"": 1}"	2025-03-05 01:00:51	2025-03-05 01:00:51
5462	esp32/light	"{""analog_read"": 21, ""test_name"": ""DummyConst5""}"	2025-03-05 01:00:53	2025-03-05 01:00:54
5463	esp8266/outside	"{""test_name"": ""DummyConst5"", ""temperature"": 7.976451397, ""pressure"": 99932.04688, ""humidity"": 38.4028244, ""iaq"": 143.5205994}"	2025-03-05 01:01:17	2025-03-05 01:01:17
5464	esp8266/inside	"{""test_name"": ""DummyConst5"", ""temperature"": 25.29643822, ""pressure"": 99905.28125, ""humidity"": 42.40642166, ""iaq"": 77.86763}"	2025-03-05 01:01:20	2025-03-05 01:01:20
5465	esp32/window	"{""test_name"": ""DummyConst5"", ""blinds_1"": 1, ""blinds_2"": 1, ""window"": 1}"	2025-03-05 01:05:51	2025-03-05 01:05:51
5466	esp32/light	"{""analog_read"": 22, ""test_name"": ""DummyConst5""}"	2025-03-05 01:05:53	2025-03-05 01:05:54
5467	esp8266/outside	"{""test_name"": ""DummyConst5"", ""temperature"": 8.014494896, ""pressure"": 99940.09375, ""humidity"": 38.43967438, ""iaq"": 144.8098297}"	2025-03-05 01:06:17	2025-03-05 01:06:17
5468	esp8266/inside	"{""test_name"": ""DummyConst5"", ""temperature"": 25.28387451, ""pressure"": 99917.53125, ""humidity"": 42.40698624, ""iaq"": 78.08013916}"	2025-03-05 01:06:20	2025-03-05 01:06:21
5469	esp32/window	"{""test_name"": ""DummyConst5"", ""blinds_1"": 1, ""blinds_2"": 1, ""window"": 1}"	2025-03-05 01:10:51	2025-03-05 01:10:51
5470	esp32/light	"{""analog_read"": 22, ""test_name"": ""DummyConst5""}"	2025-03-05 01:10:53	2025-03-05 01:10:54
5471	esp8266/outside	"{""test_name"": ""DummyConst5"", ""temperature"": 7.77335453, ""pressure"": 99935.24219, ""humidity"": 38.58005142, ""iaq"": 125.9538803}"	2025-03-05 01:11:18	2025-03-05 01:11:18
5472	esp8266/inside	"{""test_name"": ""DummyConst5"", ""temperature"": 25.278862, ""pressure"": 99911.46094, ""humidity"": 42.19454956, ""iaq"": 75.21894073}"	2025-03-05 01:11:21	2025-03-05 01:11:21
5473	esp32/window	"{""test_name"": ""DummyConst5"", ""blinds_1"": 1, ""blinds_2"": 1, ""window"": 1}"	2025-03-05 01:15:51	2025-03-05 01:15:52
5474	esp32/light	"{""analog_read"": 23, ""test_name"": ""DummyConst5""}"	2025-03-05 01:15:53	2025-03-05 01:15:54
5475	esp8266/outside	"{""test_name"": ""DummyConst5"", ""temperature"": 7.595639706, ""pressure"": 99934.92188, ""humidity"": 38.80821609, ""iaq"": 118.568718}"	2025-03-05 01:16:18	2025-03-05 01:16:18
5476	esp8266/inside	"{""test_name"": ""DummyConst5"", ""temperature"": 25.26912308, ""pressure"": 99909.3125, ""humidity"": 42.17802811, ""iaq"": 74.16162109}"	2025-03-05 01:16:21	2025-03-05 01:16:21
5477	esp32/window	"{""test_name"": ""DummyConst5"", ""blinds_1"": 1, ""blinds_2"": 1, ""window"": 1}"	2025-03-05 01:20:51	2025-03-05 01:20:51
5478	esp32/light	"{""analog_read"": 21, ""test_name"": ""DummyConst5""}"	2025-03-05 01:20:53	2025-03-05 01:20:54
5479	esp8266/outside	"{""test_name"": ""DummyConst5"", ""temperature"": 7.601001263, ""pressure"": 99928.63281, ""humidity"": 39.08329773, ""iaq"": 130.8254395}"	2025-03-05 01:21:19	2025-03-05 01:21:19
5480	esp8266/inside	"{""test_name"": ""DummyConst5"", ""temperature"": 25.26639557, ""pressure"": 99907.46875, ""humidity"": 42.10867691, ""iaq"": 73.91955566}"	2025-03-05 01:21:22	2025-03-05 01:21:22
5481	esp32/window	"{""test_name"": ""DummyConst5"", ""blinds_1"": 1, ""blinds_2"": 1, ""window"": 1}"	2025-03-05 01:25:51	2025-03-05 01:25:52
5482	esp32/light	"{""analog_read"": 23, ""test_name"": ""DummyConst5""}"	2025-03-05 01:25:53	2025-03-05 01:25:54
5483	esp8266/outside	"{""test_name"": ""DummyConst5"", ""temperature"": 7.522187233, ""pressure"": 99918.90625, ""humidity"": 39.49784088, ""iaq"": 143.5143433}"	2025-03-05 01:26:19	2025-03-05 01:26:19
5484	esp8266/inside	"{""test_name"": ""DummyConst5"", ""temperature"": 25.25382996, ""pressure"": 99897.46875, ""humidity"": 41.98324203, ""iaq"": 70.8499527}"	2025-03-05 01:26:22	2025-03-05 01:26:22
5485	esp32/window	"{""test_name"": ""DummyConst5"", ""blinds_1"": 1, ""blinds_2"": 1, ""window"": 1}"	2025-03-05 01:30:52	2025-03-05 01:30:52
5486	esp32/light	"{""analog_read"": 24, ""test_name"": ""DummyConst5""}"	2025-03-05 01:30:54	2025-03-05 01:30:54
5487	esp8266/outside	"{""test_name"": ""DummyConst5"", ""temperature"": 7.374996185, ""pressure"": 99910.74219, ""humidity"": 39.59785843, ""iaq"": 142.8705444}"	2025-03-05 01:31:19	2025-03-05 01:31:20
5488	esp8266/inside	"{""test_name"": ""DummyConst5"", ""temperature"": 25.25633621, ""pressure"": 99889.29688, ""humidity"": 41.96746826, ""iaq"": 69.57169342}"	2025-03-05 01:31:23	2025-03-05 01:31:23
5489	esp32/window	"{""test_name"": ""DummyConst5"", ""blinds_1"": 1, ""blinds_2"": 1, ""window"": 1}"	2025-03-05 01:35:52	2025-03-05 01:35:52
5490	esp32/light	"{""analog_read"": 23, ""test_name"": ""DummyConst5""}"	2025-03-05 01:35:54	2025-03-05 01:35:54
5491	esp8266/outside	"{""test_name"": ""DummyConst5"", ""temperature"": 7.354531288, ""pressure"": 99917.26563, ""humidity"": 39.41851807, ""iaq"": 139.0975189}"	2025-03-05 01:36:20	2025-03-05 01:36:20
5492	esp8266/inside	"{""test_name"": ""DummyConst5"", ""temperature"": 25.24129868, ""pressure"": 99892.22656, ""humidity"": 41.92444229, ""iaq"": 69.5411377}"	2025-03-05 01:36:23	2025-03-05 01:36:23
5493	esp32/window	"{""test_name"": ""DummyConst5"", ""blinds_1"": 1, ""blinds_2"": 1, ""window"": 1}"	2025-03-05 01:40:52	2025-03-05 01:40:52
5494	esp32/light	"{""analog_read"": 23, ""test_name"": ""DummyConst5""}"	2025-03-05 01:40:54	2025-03-05 01:40:54
5495	esp8266/outside	"{""test_name"": ""DummyConst5"", ""temperature"": 7.214924812, ""pressure"": 99917.83594, ""humidity"": 41.58314896, ""iaq"": 189.7528992}"	2025-03-05 01:41:20	2025-03-05 01:41:20
5496	esp8266/inside	"{""test_name"": ""DummyConst5"", ""temperature"": 25.22626114, ""pressure"": 99895.49219, ""humidity"": 41.82762527, ""iaq"": 67.86317444}"	2025-03-05 01:41:23	2025-03-05 01:41:23
5497	esp32/window	"{""test_name"": ""DummyConst5"", ""blinds_1"": 1, ""blinds_2"": 1, ""window"": 1}"	2025-03-05 01:45:52	2025-03-05 01:45:52
5498	esp32/light	"{""analog_read"": 23, ""test_name"": ""DummyConst5""}"	2025-03-05 01:45:54	2025-03-05 01:45:54
5499	esp8266/outside	"{""test_name"": ""DummyConst5"", ""temperature"": 6.956016541, ""pressure"": 99929.30469, ""humidity"": 42.59069443, ""iaq"": 199.9238434}"	2025-03-05 01:46:21	2025-03-05 01:46:21
5500	esp8266/inside	"{""test_name"": ""DummyConst5"", ""temperature"": 25.21899414, ""pressure"": 99901.96094, ""humidity"": 41.7498436, ""iaq"": 66.56684113}"	2025-03-05 01:46:24	2025-03-05 01:46:24
5501	esp32/window	"{""test_name"": ""DummyConst5"", ""blinds_1"": 1, ""blinds_2"": 1, ""window"": 1}"	2025-03-05 01:50:52	2025-03-05 01:50:52
5502	esp32/light	"{""analog_read"": 21, ""test_name"": ""DummyConst5""}"	2025-03-05 01:50:54	2025-03-05 01:50:54
5503	esp8266/outside	"{""test_name"": ""DummyConst5"", ""temperature"": 6.712403297, ""pressure"": 99922.11719, ""humidity"": 43.04064941, ""iaq"": 198.4406281}"	2025-03-05 01:51:21	2025-03-05 01:51:21
5504	esp8266/inside	"{""test_name"": ""DummyConst5"", ""temperature"": 25.20881081, ""pressure"": 99894.35938, ""humidity"": 41.62201309, ""iaq"": 65.35077667}"	2025-03-05 01:51:24	2025-03-05 01:51:24
5505	esp32/window	"{""test_name"": ""DummyConst5"", ""blinds_1"": 1, ""blinds_2"": 1, ""window"": 1}"	2025-03-05 01:55:52	2025-03-05 01:55:53
5506	esp32/light	"{""analog_read"": 23, ""test_name"": ""DummyConst5""}"	2025-03-05 01:55:54	2025-03-05 01:55:54
5507	esp8266/outside	"{""test_name"": ""DummyConst5"", ""temperature"": 6.618645668, ""pressure"": 99910.13281, ""humidity"": 43.34651947, ""iaq"": 198.9316864}"	2025-03-05 01:56:22	2025-03-05 01:56:22
5508	esp8266/inside	"{""test_name"": ""DummyConst5"", ""temperature"": 25.2012291, ""pressure"": 99881.50781, ""humidity"": 41.49542618, ""iaq"": 64.66060638}"	2025-03-05 01:56:25	2025-03-05 01:56:25
5509	esp32/window	"{""test_name"": ""DummyConst5"", ""blinds_1"": 1, ""blinds_2"": 1, ""window"": 1}"	2025-03-05 02:00:52	2025-03-05 02:00:53
5510	esp32/light	"{""analog_read"": 23, ""test_name"": ""DummyConst5""}"	2025-03-05 02:00:54	2025-03-05 02:00:54
5511	esp8266/outside	"{""test_name"": ""DummyConst5"", ""temperature"": 6.616107464, ""pressure"": 99902.42188, ""humidity"": 43.53608704, ""iaq"": 187.8996429}"	2025-03-05 02:01:22	2025-03-05 02:01:22
5512	esp8266/inside	"{""test_name"": ""DummyConst5"", ""temperature"": 25.19631195, ""pressure"": 99877.26563, ""humidity"": 41.53181076, ""iaq"": 62.16746521}"	2025-03-05 02:01:25	2025-03-05 02:01:25
5513	esp32/window	"{""test_name"": ""DummyConst5"", ""blinds_1"": 1, ""blinds_2"": 1, ""window"": 1}"	2025-03-05 02:05:52	2025-03-05 02:05:53
5514	esp32/light	"{""analog_read"": 23, ""test_name"": ""DummyConst5""}"	2025-03-05 02:05:54	2025-03-05 02:05:54
5515	esp8266/outside	"{""test_name"": ""DummyConst5"", ""temperature"": 6.567690372, ""pressure"": 99898.125, ""humidity"": 43.55223465, ""iaq"": 181.3383026}"	2025-03-05 02:06:22	2025-03-05 02:06:22
5516	esp8266/inside	"{""test_name"": ""DummyConst5"", ""temperature"": 25.19364357, ""pressure"": 99873.39844, ""humidity"": 41.37812424, ""iaq"": 62.33880234}"	2025-03-05 02:06:25	2025-03-05 02:06:25
5517	esp32/window	"{""test_name"": ""DummyConst5"", ""blinds_1"": 1, ""blinds_2"": 1, ""window"": 1}"	2025-03-05 02:10:53	2025-03-05 02:10:53
5518	esp32/light	"{""analog_read"": 23, ""test_name"": ""DummyConst5""}"	2025-03-05 02:10:54	2025-03-05 02:10:55
5519	esp8266/outside	"{""test_name"": ""DummyConst5"", ""temperature"": 6.456163406, ""pressure"": 99898.70313, ""humidity"": 43.56570816, ""iaq"": 176.3823547}"	2025-03-05 02:11:23	2025-03-05 02:11:23
5520	esp8266/inside	"{""test_name"": ""DummyConst5"", ""temperature"": 25.18612671, ""pressure"": 99874.40625, ""humidity"": 41.35856628, ""iaq"": 61.69089508}"	2025-03-05 02:11:26	2025-03-05 02:11:26
5521	esp32/window	"{""test_name"": ""DummyConst5"", ""blinds_1"": 1, ""blinds_2"": 1, ""window"": 1}"	2025-03-05 02:15:53	2025-03-05 02:15:53
5522	esp32/light	"{""analog_read"": 23, ""test_name"": ""DummyConst5""}"	2025-03-05 02:15:54	2025-03-05 02:15:55
5523	esp8266/outside	"{""test_name"": ""DummyConst5"", ""temperature"": 6.41793108, ""pressure"": 99894.11719, ""humidity"": 42.27890778, ""iaq"": 132.0625}"	2025-03-05 02:16:23	2025-03-05 02:16:23
5524	esp8266/inside	"{""test_name"": ""DummyConst5"", ""temperature"": 25.16861343, ""pressure"": 99868.35156, ""humidity"": 41.26391983, ""iaq"": 59.61979294}"	2025-03-05 02:16:26	2025-03-05 02:16:26
5525	esp32/window	"{""test_name"": ""DummyConst5"", ""blinds_1"": 1, ""blinds_2"": 1, ""window"": 1}"	2025-03-05 02:20:53	2025-03-05 02:20:53
5526	esp32/light	"{""analog_read"": 23, ""test_name"": ""DummyConst5""}"	2025-03-05 02:20:54	2025-03-05 02:20:55
5527	esp8266/outside	"{""test_name"": ""DummyConst5"", ""temperature"": 6.557727337, ""pressure"": 99889.78906, ""humidity"": 41.3722229, ""iaq"": 111.447998}"	2025-03-05 02:21:24	2025-03-05 02:21:24
5528	esp8266/inside	"{""test_name"": ""DummyConst5"", ""temperature"": 25.15858841, ""pressure"": 99865.85156, ""humidity"": 41.20825958, ""iaq"": 60.01064682}"	2025-03-05 02:21:27	2025-03-05 02:21:27
5529	esp32/window	"{""test_name"": ""DummyConst5"", ""blinds_1"": 1, ""blinds_2"": 1, ""window"": 1}"	2025-03-05 02:25:53	2025-03-05 02:25:53
5530	esp32/light	"{""analog_read"": 23, ""test_name"": ""DummyConst5""}"	2025-03-05 02:25:55	2025-03-05 02:25:55
5531	esp8266/outside	"{""test_name"": ""DummyConst5"", ""temperature"": 6.636191368, ""pressure"": 99885.64063, ""humidity"": 42.60453415, ""iaq"": 141.0517883}"	2025-03-05 02:26:24	2025-03-05 02:26:24
5532	esp8266/inside	"{""test_name"": ""DummyConst5"", ""temperature"": 25.15128899, ""pressure"": 99860.83594, ""humidity"": 41.14395523, ""iaq"": 58.84250259}"	2025-03-05 02:26:27	2025-03-05 02:26:27
5533	esp32/window	"{""test_name"": ""DummyConst5"", ""blinds_1"": 1, ""blinds_2"": 1, ""window"": 1}"	2025-03-05 02:30:53	2025-03-05 02:30:53
5534	esp32/light	"{""analog_read"": 23, ""test_name"": ""DummyConst5""}"	2025-03-05 02:30:55	2025-03-05 02:30:55
5535	esp8266/outside	"{""test_name"": ""DummyConst5"", ""temperature"": 6.384869576, ""pressure"": 99897.01563, ""humidity"": 44.08456421, ""iaq"": 166.9300232}"	2025-03-05 02:31:24	2025-03-05 02:31:25
5536	esp8266/inside	"{""test_name"": ""DummyConst5"", ""temperature"": 25.14878464, ""pressure"": 99872.64844, ""humidity"": 41.07495117, ""iaq"": 58.74189758}"	2025-03-05 02:31:27	2025-03-05 02:31:27
5537	esp32/window	"{""test_name"": ""DummyConst5"", ""blinds_1"": 1, ""blinds_2"": 1, ""window"": 1}"	2025-03-05 02:35:53	2025-03-05 02:35:53
5538	esp32/light	"{""analog_read"": 23, ""test_name"": ""DummyConst5""}"	2025-03-05 02:35:55	2025-03-05 02:35:55
5539	esp8266/outside	"{""test_name"": ""DummyConst5"", ""temperature"": 6.161786079, ""pressure"": 99909.89844, ""humidity"": 44.921875, ""iaq"": 184.4158936}"	2025-03-05 02:36:25	2025-03-05 02:36:25
5540	esp8266/inside	"{""test_name"": ""DummyConst5"", ""temperature"": 25.128479, ""pressure"": 99882.42969, ""humidity"": 40.85819244, ""iaq"": 57.27801514}"	2025-03-05 02:36:28	2025-03-05 02:36:28
5541	esp32/window	"{""test_name"": ""DummyConst5"", ""blinds_1"": 1, ""blinds_2"": 1, ""window"": 1}"	2025-03-05 02:40:53	2025-03-05 02:40:53
5542	esp32/light	"{""analog_read"": 24, ""test_name"": ""DummyConst5""}"	2025-03-05 02:40:55	2025-03-05 02:40:55
5543	esp8266/outside	"{""test_name"": ""DummyConst5"", ""temperature"": 6.001936913, ""pressure"": 99911.77344, ""humidity"": 44.87928009, ""iaq"": 192.2210541}"	2025-03-05 02:41:25	2025-03-05 02:41:25
5544	esp8266/inside	"{""test_name"": ""DummyConst5"", ""temperature"": 25.12124443, ""pressure"": 99884.16406, ""humidity"": 40.8535347, ""iaq"": 56.37027359}"	2025-03-05 02:41:28	2025-03-05 02:41:28
5545	esp32/window	"{""test_name"": ""DummyConst5"", ""blinds_1"": 1, ""blinds_2"": 1, ""window"": 1}"	2025-03-05 02:45:53	2025-03-05 02:45:53
5546	esp32/light	"{""analog_read"": 23, ""test_name"": ""DummyConst5""}"	2025-03-05 02:45:55	2025-03-05 02:45:55
5547	esp8266/outside	"{""test_name"": ""DummyConst5"", ""temperature"": 5.884955406, ""pressure"": 99918.57813, ""humidity"": 44.83914948, ""iaq"": 193.0377197}"	2025-03-05 02:46:26	2025-03-05 02:46:26
5548	esp8266/inside	"{""test_name"": ""DummyConst5"", ""temperature"": 25.10845947, ""pressure"": 99885.82813, ""humidity"": 40.86172485, ""iaq"": 56.38177872}"	2025-03-05 02:46:29	2025-03-05 02:46:29
5549	esp32/window	"{""test_name"": ""DummyConst5"", ""blinds_1"": 1, ""blinds_2"": 1, ""window"": 1}"	2025-03-05 02:50:53	2025-03-05 02:50:54
5550	esp32/light	"{""analog_read"": 25, ""test_name"": ""DummyConst5""}"	2025-03-05 02:50:55	2025-03-05 02:50:55
5551	esp8266/outside	"{""test_name"": ""DummyConst5"", ""temperature"": 5.78837347, ""pressure"": 99919.69531, ""humidity"": 44.97425079, ""iaq"": 193.8265839}"	2025-03-05 02:51:26	2025-03-05 02:51:26
